Date,Open,High,Low,Close,Adj Close,Volume
2025-07-08,210.100006,211.429993,208.449997,210.009995,209.568771,42848900
2025-07-09,209.529999,211.330002,207.220001,211.139999,210.696396,48749400
2025-07-10,210.509995,213.479996,210.029999,212.410004,211.963745,44443600
2025-07-11,210.570007,212.130005,209.860001,211.160004,210.716354,39765800
2025-07-14,209.929993,210.910004,207.539993,208.619995,208.181686,38840100
2025-07-15,209.220001,211.889999,208.919998,209.110001,208.670670,42296300
2025-07-16,210.300003,212.399994,208.639999,210.160004,209.718460,47490500
2025-07-17,210.570007,211.800003,209.589996,210.020004,209.578751,48068100
2025-07-18,210.869995,211.789993,209.699997,211.179993,210.736313,48974600
2025-07-21,212.100006,215.779999,211.630005,212.479996,212.033585,51377400
2025-07-22,213.139999,214.949997,212.229996,214.399994,213.949539,46404100
2025-07-23,215.000000,215.149994,212.410004,214.149994,213.700073,46989300
2025-07-24,213.899994,215.690002,213.529999,213.759995,213.310898,46022600
2025-07-25,214.699997,215.240005,213.399994,213.880005,213.430649,40268800
2025-07-28,214.029999,214.850006,213.059998,214.050003,213.600296,37858000
2025-07-29,214.179993,214.809998,210.820007,211.270004,210.826126,51411700
2025-07-30,211.899994,212.389999,207.720001,209.050003,208.610794,45512500
2025-07-31,208.490005,209.839996,207.160004,207.570007,207.133911,80698400
2025-08-01,210.869995,213.580002,201.500000,202.380005,201.954803,104434500
2025-08-04,204.509995,207.880005,201.679993,203.350006,202.922775,75109300
2025-08-05,203.399994,205.339996,202.160004,202.919998,202.493668,44155100
2025-08-06,205.630005,215.380005,205.589996,213.250000,212.801956,108483100
2025-08-07,218.880005,220.850006,216.580002,220.029999,219.567719,90224800
2025-08-08,220.830002,231.000000,219.250000,229.350006,228.868134,113854000
2025-08-11,227.919998,229.559998,224.759995,227.179993,226.959976,61806100
2025-08-12,228.009995,230.800003,227.070007,229.649994,229.427582,55626200
2025-08-13,231.070007,235.000000,230.429993,233.330002,233.104034,69878500
2025-08-14,234.059998,235.119995,230.850006,232.779999,232.554565,51916300
2025-08-15,234.000000,234.279999,229.339996,231.589996,231.365707,56038700
2025-08-18,231.699997,233.119995,230.110001,230.889999,230.666397,37476200
2025-08-19,231.279999,232.869995,229.350006,230.559998,230.336716,39402600
2025-08-20,229.979996,230.470001,225.770004,226.009995,225.791107,42263900
2025-08-21,226.270004,226.520004,223.779999,224.899994,224.682190,30621200
2025-08-22,226.169998,229.089996,225.410004,227.759995,227.539413,42477800
2025-08-25,226.479996,229.300003,226.229996,227.160004,226.940002,30983100
2025-08-26,226.869995,229.490005,224.690002,229.309998,229.087921,54575100
2025-08-27,228.610001,230.899994,228.259995,230.490005,230.266785,31259500
2025-08-28,230.820007,233.410004,229.339996,232.559998,232.334778,38074700
2025-08-29,232.509995,233.380005,231.369995,232.139999,231.915176,39418400
2025-09-02,229.250000,230.850006,226.970001,229.720001,229.497528,44075600
2025-09-03,237.210007,238.850006,234.360001,238.470001,238.239059,66427800
2025-09-04,238.449997,239.899994,236.740005,239.779999,239.547775,47549400
2025-09-05,240.000000,241.320007,238.490005,239.690002,239.457870,54870400
2025-09-08,239.300003,240.149994,236.339996,237.880005,237.649628,48999500
2025-09-09,237.000000,238.779999,233.360001,234.350006,234.123047,66313900
2025-09-10,232.190002,232.419998,225.949997,226.789993,226.570358,83440800
2025-09-11,226.880005,230.449997,226.649994,230.029999,229.807220,50208600
2025-09-12,229.220001,234.509995,229.020004,234.070007,233.843323,55824200
2025-09-15,237.000000,238.190002,235.029999,236.699997,236.470764,42699500
2025-09-16,237.179993,241.220001,236.320007,238.149994,237.919357,63421100
2025-09-17,238.970001,240.100006,237.729996,238.990005,238.758560,46508000
2025-09-18,239.970001,241.199997,236.649994,237.880005,237.649628,44249600
2025-09-19,241.229996,246.300003,240.210007,245.500000,245.262238,163741300
2025-09-22,248.300003,256.640015,248.119995,256.079987,255.831985,105517400
2025-09-23,255.880005,257.339996,253.580002,254.429993,254.183594,60275200
2025-09-24,255.220001,255.740005,251.039993,252.309998,252.065643,42303700
